_cq_source_name,_cq_sync_time,_cq_id,_cq_parent_id,type,links,uuid,key,owner,name,description,is_private,created_on,updated_on,has_publicly_visible_repos
bitbucket,2023-06-22 18:48:37.999907,0d30901e-d27a-43dd-9f2f-1c6165562d1a,,project,"{""html"":{""href"":""https://bitbucket.org/figg/workspace/projects/OEW"",""name"":""""},""avatar"":{""href"":""https://bitbucket.org/account/user/figg/projects/OEW/avatar/32?ts=1657261943"",""name"":""""}}",{871f72b4-5525-4811-884d-1a8f53f2878b},OEW,"{""type"":""team""}",oe_whitelabel,Project for the OE Whitelabel,true,2022-07-08T06:32:23.426104+00:00,2022-07-08T06:32:23.426116+00:00,false
bitbucket,2023-06-22 18:48:37.999907,3f346d17-4052-4555-841e-1b26cd4c7ca2,,project,"{""html"":{""href"":""https://bitbucket.org/figg/workspace/projects/TFM"",""name"":""""},""avatar"":{""href"":""https://bitbucket.org/account/user/figg/projects/TFM/avatar/32?ts=1642785210"",""name"":""""}}",{48ea5950-1886-4b47-83b0-352508b65e3b},TFM,"{""type"":""team""}",terraform-modules,Home to all figg terraform modules.,true,2022-01-21T17:13:30.716507+00:00,2022-01-21T17:13:30.716524+00:00,false
bitbucket,2023-06-22 18:48:37.999907,8647fefb-b2e2-4dcc-85e0-0a9c429685bf,,project,"{""html"":{""href"":""https://bitbucket.org/figg/workspace/projects/FS_ATC"",""name"":""""},""avatar"":{""href"":""https://bitbucket.org/account/user/figg/projects/FS_ATC/avatar/32?ts=1642550236"",""name"":""""}}",{c9f4023f-82af-4bac-9a55-198d9d7882d2},FS_ATC,"{""type"":""team""}",figg-services attic,For archiving figg-services retired projects and repos that are end of lifed,true,2022-01-18T23:55:11.845070+00:00,2022-01-18T23:57:16.557005+00:00,false
bitbucket,2023-06-22 18:48:37.999907,a58a9b95-1468-4ca4-9f6e-580e68f025f8,,project,"{""html"":{""href"":""https://bitbucket.org/figg/workspace/projects/FS"",""name"":""""},""avatar"":{""href"":""https://bitbucket.org/account/user/figg/projects/FS/avatar/32?ts=1642546937"",""name"":""""}}",{03cbc3cd-b8b2-4bbc-869c-f5ac14555c3d},FS,"{""type"":""team""}",figg-services,figg-services and related repositories,true,2022-01-18T23:02:17.953563+00:00,2022-01-18T23:02:17.953581+00:00,false
bitbucket,2023-06-22 18:48:37.999907,7c77a3c7-ab28-49fc-8bb4-aeef085714ec,,project,"{""html"":{""href"":""https://bitbucket.org/figg/workspace/projects/CA"",""name"":""""},""avatar"":{""href"":""https://bitbucket.org/account/user/figg/projects/CA/avatar/32?ts=1641415616"",""name"":""""}}",{45b44f3a-1349-419a-8b0d-1638b30df6e7},CA,"{""type"":""team""}",content-acquisition,,true,2022-01-05T20:46:56.534905+00:00,2022-01-05T20:46:56.534922+00:00,false
bitbucket,2023-06-22 18:48:37.999907,21f105e0-078b-45c9-a354-d24ca1057fe1,,project,"{""html"":{""href"":""https://bitbucket.org/figg/workspace/projects/INT"",""name"":""""},""avatar"":{""href"":""https://bitbucket.org/account/user/figg/projects/INT/avatar/32?ts=1636040881"",""name"":""""}}",{fd67a76d-fa26-4e81-93de-987d9fcd3dc3},INT,"{""type"":""team""}",INT,,false,2021-11-04T15:48:01.842814+00:00,2021-11-04T15:48:01.842832+00:00,false
bitbucket,2023-06-22 18:48:37.999907,56510713-cd31-4d1d-89b1-c6e6ce482c5f,,project,"{""html"":{""href"":""https://bitbucket.org/figg/workspace/projects/POP"",""name"":""""},""avatar"":{""href"":""https://bitbucket.org/account/user/figg/projects/POP/avatar/32?ts=1631222756"",""name"":""""}}",{2c696bbd-84ff-4c5f-82ab-df1f4498f89b},POP,"{""type"":""team""}",pop,,false,2021-09-09T21:25:56.321149+00:00,2021-09-09T21:25:56.321166+00:00,false
bitbucket,2023-06-22 18:48:37.999907,a3fb7fe5-4e09-40cb-bd24-525d37cd1755,,project,"{""html"":{""href"":""https://bitbucket.org/figg/workspace/projects/CLL"",""name"":""""},""avatar"":{""href"":""https://bitbucket.org/account/user/figg/projects/CLL/avatar/32?ts=1593033390"",""name"":""""}}",{0027bef9-55d4-497e-bea3-a4944f174192},CLL,"{""type"":""team""}",CLL,,true,2020-06-24T21:16:30.347058+00:00,2020-06-24T21:16:30.347070+00:00,false
bitbucket,2023-06-22 18:48:37.999907,a8c4461d-62cc-4b78-bb50-e7f6e5b6a999,,project,"{""html"":{""href"":""https://bitbucket.org/figg/workspace/projects/PLAT"",""name"":""""},""avatar"":{""href"":""https://bitbucket.org/account/user/figg/projects/PLAT/avatar/32?ts=1593011689"",""name"":""""}}",{84014d2e-564c-47c8-95c0-40c3fcd9239c},PLAT,"{""type"":""team""}",platform-engineering,,false,2020-06-24T15:14:49.908917+00:00,2020-06-24T15:14:49.908956+00:00,false
bitbucket,2023-06-22 18:48:37.999907,713bee76-80af-4efc-a62c-9881181905ed,,project,"{""html"":{""href"":""https://bitbucket.org/figg/workspace/projects/DEF"",""name"":""""},""avatar"":{""href"":""https://bitbucket.org/account/user/figg/projects/DEF/avatar/32?ts=1593008787"",""name"":""""}}",{6338b115-711b-4a56-b527-265362c9a48d},DEF,"{""type"":""team""}",default,,false,2020-06-24T14:26:27.517315+00:00,2020-06-24T14:26:27.517328+00:00,false
